16,"Сигнал №16/ СО-КЦ-131/  14.10.2014 09:54:19    ",Отрязани клони и храсти,"
            При градушката през месец юли бяха изпопадали клони пред блок 28А в ж.к. Младост 1. В момента тези клони са преместени на паркинга между бл. 28А и 117 ОДЗ, непосредствено пред 117 ОДЗ. Прилагам 2 снимки. Моля тези клони да бъдат извозени, за да могат живущите в бл. 28А и родителите на децата от 117 ОДЗ спокойно да паркират на паркинга пред 117 ОДЗ.
        ",Приключен,"Екология. Зелена система / Извозване на отрязани клони и храсти ","Екология. Зелена система "," Извозване на отрязани клони и храсти "
17,"Сигнал №17/ СО-КЦ-132/  14.10.2014 11:20:00    ","Липсващ капак на шахта. ","
            &nbsp;На бул.&quot;Сливница&quot; между бул. &quot;Ботев&quot; и ул.&quot;Раковски&quot; на временна спирка на градския транспорт,&nbsp;на тротоара.Има голяма дупка с липсващ капак на шахта, квадратна на тротоара. Има опасност от нараняване, тъй като не се вижда добре.
        ",Приключен,Пътна инфраструктура / Счупени или липсващи капаци на шахти,"Пътна инфраструктура "," Счупени или липсващи капаци на шахти"
18,"Сигнал №18/ СО-КЦ-133/  14.10.2014 11:41:49    ",Извозване на отрязани клони,"
            &nbsp;
До уличните кофи, намиращи се&nbsp;&nbsp;пред блоковете срещу пивоварна ""Загорка"" (бившата ""Ариана""),&nbsp;има голямо количество&nbsp;отрязани клони.
        ",Приключен,"Екология. Зелена система / Извозване на отрязани клони и храсти ","Екология. Зелена система "," Извозване на отрязани клони и храсти "
19,"Сигнал №19/ СО-КЦ-135/  14.10.2014 13:49:27    ",Проблем в уличното осветление,"
            Здравейте, искам да подам сигнал за неработещо улично осветление по улица Борис Христов. Малкото лампи, които светят пък са монтирани много високо и са абсолютно безмислени. Вечер улицата е абсолютно тъмна и молбата ми е да се подходи рационално и лампите да бъдат изместени по-ниско за да има полза от разходите, които и без това правят. Също да се сменят изгорелите такива.
        ",Приключен,Улично осветление / Неработещи единични лампи от уличното осветление,"Улично осветление "," Неработещи единични лампи от уличното осветление"
20,"Сигнал №20/ СО-КЦ-136/  14.10.2014 13:55:18    ",Спирка на градския транспорт,"
            Здравейте, става въпрос за поставяне на обезопасителни колчета на спирката на градския транспорт на алея Яворов - Ропотамо - по посока Орлов мост. Такива, до колкото съм забелязала има на всички спирки от София МОЛ до Орлов мост. Предполагам, че се дължи на пропуск. Благодаря
        ",В процес на обработка,Пътна инфраструктура / Опасни спирконавеси,"Пътна инфраструктура "," Опасни спирконавеси"
21,"Сигнал №21/ СО-КЦ-134/  14.10.2014 13:59:02    ",Неработещо улично осветление,"
            По цялятя улуца на ул.&quot; Георги георгиев -Гец&quot; няма осветление. Моля, да&nbsp; обърнете внимание на лампата пред N 21.
        ",Приключен,Улично осветление / Неработещо улично осветление в цели квартали или улици,"Улично осветление "," Неработещо улично осветление в цели квартали или улици"
22,"Сигнал №22/ СО-КЦ-138/  14.10.2014 16:18:23    ",Системно непочистване на парка,"
            Минавам през парка всекидневно по два пъти - сутрин и вечер. Парка не се почиства, потънал е в мръсотия и шума. Кошчета преливат от буклук и вятъра ги разнася. &nbsp;Не се мете, твърде рядко се събира шумата. Пейките не са захванати &nbsp;и се местят непрекъснато. Езерцата, които се пълнят по време на дъждовете са пълни с кал, камъни и боклуци. Парка се посещава от много хора и се нуждае от ежедневно почистване. Явно фирмата, която е наета да го прави не си върши качествено работа. Моля изпратете инспектори с оглед бързото решаване на проблема.
        ",В процес на обработка,"Екология. Зелена система / Неизвозени/несъбрани сухи листа ","Екология. Зелена система "," Неизвозени"
23,"Сигнал №23/ СО-КЦ-137/  14.10.2014 16:19:44    ",Не работи уличното осветление.,"
            На ул.&quot;Подграмада&quot; не работи уличното осветление. На ул. &quot;Кумата&quot; уличното осветление работи денонощно.
        ",Приключен,Улично осветление / Неработещо улично осветление в цели квартали или улици,"Улично осветление "," Неработещо улично осветление в цели квартали или улици"
24,"Сигнал №24/  14.10.2014 17:32:17    ",тест 1,"
            
        ",Отхвърлен,Инф. системи на Столична община / Проблем с друга информационна система,"Инф. системи на Столична община "," Проблем с друга информационна система"
25,"Сигнал №25/ СО-КЦ-139/  14.10.2014 21:19:40    ",Наличие на гризачи,"
            В пространството между The Mall и бизнес сграда &quot;Мегапарк&quot; има плъхове, които са в такова количество, че се&nbsp;чуват.
        ",В процес на обработка,"Екология. Зелена система / Наличие на гризачи (плъхове), насекоми (комари, оси) и др., както и искания за третиране на площи","Екология. Зелена система "," Наличие на гризачи (плъхове), насекоми (комари, оси) и др., както и искания за третиране на площи"
26,"Сигнал №26/ Към СО-КЦ-128-[1]/  14.10.2014 21:44:59    ",Липса на улично осветление.,"
            Вчера е подаден сигнал за липса на осветление на ул.""Родопи"" и ул.""Тимок"" до днес нищо не е направено. През деня е светело на ул.""Родопи"", а в тъмната част на денонощието е загаснало и в момента двете улици са в пълен мрак.&nbsp; ""Улично осветление""ЕАД СОФИЯ, приеха сигнала за проверка.
        ",Приключен,"Улично осветление / Улично осветление, работещо през деня","Улично осветление "," Улично осветление, работещо през деня"
27,"Сигнал №27/ СО-КЦ-140/  15.10.2014 08:51:34    ",Изхвърлени сухи треви и листа.,"
            &nbsp;На ул. &quot;Елша&quot; и ул&quot;Панорамен път&quot; има изхвърлени треви, които затрудняват движението и са неприятна гледка с лоша миризма.
        ",Приключен,"Екология. Зелена система / Неизвозени/несъбрани сухи листа ","Екология. Зелена система "," Неизвозени"
28,"Сигнал №28/ СО-КЦ-176/  15.10.2014 08:59:38    ",ул. &quot;Марта&quot; е преименувана преди две години на ул. &quot;Акад. Михаил Арнаудов&quot;.,"
            Промяната не е отразена и все още стоят старите табели на улицата.
        ",Приключен,Пътна сигнализация / Липсващи или повредени указателни табели и табели с имената на улиците,"Пътна сигнализация "," Липсващи или повредени указателни табели и табели с имената на улиците"
29,"Сигнал №29/ СО-КЦ-141/  15.10.2014 09:07:50    ",Спряно е уличното осветление,"
            Впродължение на дълго време уличното осветление е спряно и след това не е възстановено. Липсва улично осветление на ул. 646, ул. Каменица и на много други улици в района на кв. Горна Баня
        ",Приключен,Улично осветление / Неработещо улично осветление в цели квартали или улици,"Улично осветление "," Неработещо улично осветление в цели квартали или улици"
30,"Сигнал №30/ Към СО-КЦ-140-[1]/  15.10.2014 09:40:08    ",допълване на сигнала с информация за изхвърлените треви и листа,"
            Гражданинът съобщава, че тревите и листата са примесени с чакъл и наносна почва. Съобщава още, че тези отпадъци са останали от кампанията за почистване и се намират до първите дървета, близо до пътя до гориста местност.
        ",Приключен,"Екология. Зелена система / Неизвозени/несъбрани сухи листа ","Екология. Зелена система "," Неизвозени"
31,"Сигнал №31/ СО-КЦ-142/  15.10.2014 09:54:04    ",Оплакване от Фабрика за пране на килими,"
            Фабрика за пране на килими замърсява околната среда, като изхвърля отходните си води в канал вливащ се в р. Искър. Същата Фабрика е присвоила незаконно земи намиращи се в близост и има съмнение за незаконно строителство. Моля за съдействие тъй като замърсяването и незаконната дейност&nbsp;е в голям размер.
        ",Приключен,Водоснабдяване и канализация / Безконтролно изливане на вода от битови или производствени имоти,"Водоснабдяване и канализация "," Безконтролно изливане на вода от битови или производствени имоти"
32,"Сигнал №32/ СО-КЦ-143/  15.10.2014 10:58:50    ",Сериозно повредена пътна настилка - пропадане и големи дупки,"
            Има повредена пътна настилка в големи размери в участъка между ул. Постоянство и бул. Шипченски проход.
Трагично е и състоянието на ул. Хемус в участъка между Елисавета Багряна и Светлоструй.
В близко бъдеще движението ще бъде сериозно затруднено.
Благодаря ви за предприетите мерки.
&nbsp;
        ",Приключен,"Пътна инфраструктура / Дупки, пропадане или издигане на настилката на пътното платно или тротоара ","Пътна инфраструктура "," Дупки, пропадане или издигане на настилката на пътното платно или тротоара "
33,"Сигнал №33/ СО-КЦ-144/  15.10.2014 11:41:10    ",Опасни дупки на пътя,"
            На ул. &quot;Старата воденица&quot; и ул. &quot;Мара Бунева&quot; пред блок № 2 на пътното плътно има две дупки, които пречат на пътното движение и са опасни за живота на хората. Моля за бързо съдействие
        ",Приключен,"Пътна инфраструктура / Дупки, пропадане или издигане на настилката на пътното платно или тротоара ","Пътна инфраструктура "," Дупки, пропадане или издигане на настилката на пътното платно или тротоара "
34,"Сигнал №34/ СО-КЦ-145/  15.10.2014 12:06:59    ","Храсти, дървета, които пречат на видимостта на пътя.","
            Самата ул. &quot;Кулуш&quot; прави много остър завой и точно на този завой има буйна растителност, която пречи на видимостта, което създава условия за ПТП.
        ",В процес на обработка,Екология. Зелена система / Изсъхнали/неподрязани дървета и клони.,"Екология. Зелена система "," Изсъхнали"
35,"Сигнал №35/ СО-КЦ-146/  15.10.2014 12:31:41    ",В района около 18 ОДЗ проблем с домашни кучета.,"
            Собственик разхожда домашните си кучета ,едното от които&nbsp;е Ротвайлер без каишки и са крайно опасни за минаващите и живущите.
        ",Приключен,Проблеми с кучета / Ухапвания/нападения от кучета,"Проблеми с кучета "," Ухапвания"
36,"Сигнал №36/ СО-КЦ-147/  15.10.2014 13:04:31    ",счупени тела на улични лампи,"
            Счупени осветителни тела на ул. Роженски проход № 2;
Счупени от градушката 5 осветителни тела на ул. Роженски проход до бл. 60 А;
Счупено осветително тяло на ул. Боровец до бл. 21А.
        ",Приключен,Улично осветление / Неработещи единични лампи от уличното осветление,"Улично осветление "," Неработещи единични лампи от уличното осветление"
37,"Сигнал №37/ СО-КЦ-148/  15.10.2014 13:52:44    ",Неработещо осветление в подлез.,"
            В подлеза на бул.&quot;Христо Ботев&quot;, който излиза на Централна гара.
        ",Приключен,Улично осветление / Неработещо осветление в подлези,"Улично осветление "," Неработещо осветление в подлези"
38,"Сигнал №38/ СО-КЦ-157/  15.10.2014 13:57:41    ",Оплакване от информационната система на МДТ,"
            Моля да бъде обърнато внимание на това, че информационната систима, която обслужва МДТ към всички райони е в постоянен срив и почти никога не работи. В район ""Надежда"" редовно поради срив в информационната система няма достъп до услугите на МДТ. Искаме да бъде обърнато внимание на фирмата която подържа системата, да бъде санкционирана и да понесе отговорност за нередностите. Молим всички нередности да бъдат отстранени, за да може всеки един от нас да се ползва безпрепятствено от услугите на МДТ.
        ",Приключен,Инф. системи на Столична община / Проблем с друга информационна система,"Инф. системи на Столична община "," Проблем с друга информационна система"
39,"Сигнал №39/ СО-КЦ-150/  15.10.2014 14:25:40    ",кучешки колиби пред вход,"
            Здравейте.Живея &nbsp;в този блок от 6 години,а в квартала от 30.Винаги пред този вход е имало кучета,които продължават и до днес да бъдат хранени от хора както от входа,така от блока.До преди месец тези кучета живееха в изоставен гараж отстоящ на около 20 метра от входа.Поради неизвестни на мен причини,гаража беше изет и кучетата останах без подслон.Така преди 10 дни се появиха 2 кучешки колиби на няколко метра встрани от входа,в тревна площ.Решението ми да се обърна за помощ към вас беше молбата на една майка с дете да им помогна да минат по пътечката до входа,която води до детската градина.Причината беше страхат от кучетата които обитават колибите отстоящи на около 2 метра от пътечката.Въпросните кучета многократно са пускани във входа от ""добри съседи"" за подслон.Прилагам копиран отговор от Екоравновесие и Ви моля ,ако е възможно молбата ми да остане поверителна
&nbsp;
Уважаеми/уважаема Кирил Шопов,Случаят, описан в сигнал с входящ номер 61094/13.10.2014г., не е в компетенциите и правомощията на ОП Екоравновесие. Екоравновесие е общинско предприятие с основна задача регулиране популацията на безстопанствените кучета на територията на Столична община. Основните дейности на предприятието са свързани с тази задача: стопанисване на приюта в кв. Сеславци и грижа за настанените кучета, залавяне на некастрирани или агресивни безстопанствени кучета, кастрация, обезпаразитяване, трайна маркировка, връщане на място на безстопанствените кучета и др. Можете да се запознаете по-подробно с нашата дейност на www.ekoravnovesie.com.
        ",Приключен,Проблеми с кучета / Ухапвания/нападения от кучета,"Проблеми с кучета "," Ухапвания"
40,"Сигнал №40/ СО-КЦ-149/  15.10.2014 14:39:18    ",счупени осветителни тела пред бл. 616 вх. В и вх. Г,"
            Четири метрови стълбове с по един глобус. Начупени стъкла на осветителните тела от градушката, опасност от нараняване на хора от падащи стъкла от счупените глобуси.
        ",Приключен,Улично осветление / Неработещи единични лампи от уличното осветление,"Улично осветление "," Неработещи единични лампи от уличното осветление"
41,"Сигнал №41/ СО-КЦ-151/  15.10.2014 14:51:03    ",Много голяма дупка.,"
            На &quot;Ломско шосе&quot;, на моста, преди караулката, преди бензиностанция&quot;ЕКО&quot; има голяма дупка с опасност за ПТП.
        ",Приключен,"Пътна инфраструктура / Дупки, пропадане или издигане на настилката на пътното платно или тротоара ","Пътна инфраструктура "," Дупки, пропадане или издигане на настилката на пътното платно или тротоара "
42,"Сигнал №42/ СО-КЦ-152/  15.10.2014 14:53:40    ",Преносими кучешки колибки пред входа на блок. Сигналът е свързан с СО-КЦ- 150/15.10.2014г.,"
            &nbsp;
Здравейте. Живея &nbsp;в този блок от 6 години,а в квартала от 30.Винаги пред този вход е имало кучета,които продължават и до днес да бъдат хранени от хора както от входа,така от блока.До преди месец тези кучета живееха в изоставен гараж отстоящ на около 20 метра от входа.Поради неизвестни на мен причини,гаража беше изет и кучетата останах без подслон.Така преди 10 дни се появиха 2 кучешки колиби на няколко метра встрани от входа,в тревна площ.Решението ми да се обърна за помощ към вас беше молбата на една майка с дете да им помогна да минат по пътечката до входа,която води до детската градина.Причината беше страхат от кучетата които обитават колибите отстоящи на около 2 метра от пътечката.Въпросните кучета многократно са пускани във входа от &quot;добри съседи&quot; за подслон.Прилагам копиран отговор от Екоравновесие и Ви моля ,ако е възможно молбата ми да остане поверителна.
&nbsp;
        ",Приключен,Сгради/строежи / Незаконни преместваеми обекти и рекламни съоръжения.,Сгради,"строежи "
43,"Сигнал №43/ Към СО-КЦ-151-[1]/  15.10.2014 15:29:17    ","Допълване на информацията от сигнал, номер СО-КЦ-151.","
            След прослушване на сигнала се оказа, че гражданката е подала грешен адрес на проблема. Дупката се намира на бул. &quot;Ломско шосе&quot; в &quot;Обеля-2&quot;, на моста,&nbsp;между бензиностанция &quot;ЕКО&quot; и караулката.
        ",Приключен,"Пътна инфраструктура / Дупки, пропадане или издигане на настилката на пътното платно или тротоара ","Пътна инфраструктура "," Дупки, пропадане или издигане на настилката на пътното платно или тротоара "
44,"Сигнал №44/ СО-КЦ-153/  15.10.2014 16:18:26    ",Светофар на новото кръстовище на Семинарията,"
            Дясната секция на светофара на Семинарията за идващите от посока бул. ""Симеоновско шосе"" и завиващи по бул. ""Пейо Яворов"" не работи
        ",Приключен,"Пътна сигнализация / Липсваща или избледняла пътна маркировка; несъответствие в сигнализацията, регулираща уличното движение","Пътна сигнализация "," Липсваща или избледняла пътна маркировка; несъответствие в сигнализацията, регулираща уличното движение"
45,"Сигнал №45/ СО-КЦ-154/  15.10.2014 16:38:34    ","Разбита пътна настилка, опасни дупки на пътното платно.","
            Пътната настилка на цялата улица &quot;Хисаря&quot; е разбита.
        ",Приключен,"Пътна инфраструктура / Дупки, пропадане или издигане на настилката на пътното платно или тротоара ","Пътна инфраструктура "," Дупки, пропадане или издигане на настилката на пътното платно или тротоара "
46,"Сигнал №46/ СО-КЦ-155/  15.10.2014 16:42:34    ",Опасни тръби на входа на подлеза.,"
            Липсващи парапети на входа на подлеза и тръби, които създават опасност за минаващите граждани.
&nbsp;
        ",Приключен,"Пътна инфраструктура / Липсващи, повредени или неефективни конструктивни елементи в подлези","Пътна инфраструктура "," Липсващи, повредени или неефективни конструктивни елементи в подлези"
47,"Сигнал №47/ СО-КЦ-156/  15.10.2014 16:57:05    ",Улица без изход,"
            Здравейте,Казвам се Тереза Пресолска и пиша по повод улица в район Илинден,която е затворена от повече от 12 години,но няма знак,който да указва това.Улицата е перпендикуляр на ул.Зографски манастир и ул.Хисаря.Преди е била продължение на ул.Пиротска.Моля да бъде поставен знак,тъй като липсата му заблуждава водачите на МПС и създава неудобства на живущите в района.Голяма част от автомобилите покзват новопостроения тротоар и рушат и малкото здрави участъци от него.Надявам се на Вашата бърза реакция.Благодаря!С уважение:Тереза Пресолска0887 621908tereza77pr@gmail.comSent from my iPhone
        ",Приключен,"Пътна сигнализация / Липсващи или повредени пътни знаци ","Пътна сигнализация "," Липсващи или повредени пътни знаци "
48,"Сигнал №48/ Към СО-КЦ-153-[1]/  15.10.2014 17:14:00    ",Неработеща дясна секция на светофара на Семинарията,"
            Искам да ви попитам защо от една седмица не работи дясната секция на светофара на Семинарията за идващите от посока Бул. &quot;Симеоновско шосе&quot; и завиващи по бул. &quot;Пейо Яворов&quot;. Образуват се страхотни задръствания. Минаването сутрин е почти невъзможно.
&nbsp;
        ",Приключен,"Пътна сигнализация / Липсваща или избледняла пътна маркировка; несъответствие в сигнализацията, регулираща уличното движение","Пътна сигнализация "," Липсваща или избледняла пътна маркировка; несъответствие в сигнализацията, регулираща уличното движение"
49,"Сигнал №49/ СО-КЦ-158/  15.10.2014 20:18:17    ",Неработещо улично осветление,"
            В участъка&nbsp;по ул. Будапеща, заключен между ул. Родопи и ул. Козлудй,&nbsp; уличното осветление от едната страна на улицата не работи. По улицата има и други неработещи единични лампи, както и по ул. Родопи и пред ОДЗ.
&nbsp;
        ",Приключен,Улично осветление / Неработещи единични лампи от уличното осветление,"Улично осветление "," Неработещи единични лампи от уличното осветление"
50,"Сигнал №50/ СО-КЦ-159/  15.10.2014 20:19:42    ",Неработещо осветление около катедрала Ал. Невски и самата тя е неосветена,"
            Неосветена катедрала Ал.Невски и около нея.
        ",Приключен,Улично осветление / Неработещи единични лампи от уличното осветление,"Улично осветление "," Неработещи единични лампи от уличното осветление"
51,"Сигнал №51/ СО-КЦ-161/  15.10.2014 20:54:21    ",Изсъхваща борова гора,"
            Боровата гора изсъхва с много бързи темпове. Засегнати са две отделни (непресичаши се) части от гората.
Смятам, че има някакво заболяване. Не е имало пожар.
        ",В процес на обработка,Екология. Зелена система / Изсъхнали/неподрязани дървета и клони.,"Екология. Зелена система "," Изсъхнали"
52,"Сигнал №52/ СО-КЦ-160/  15.10.2014 21:13:34    ",Опасна дупка,"
            Срещу гребната база има уширение с чешма. Често има спрели коли, а опасната дупка се намира на пътя на десния завой от &quot;Самоковско шосе&quot; по ул.&quot;Елин Пелин&quot;. Стават катастрофи. Ако е вечер, дупката изобщо не се вижда, а е доста голяма.
        ",Приключен,"Пътна инфраструктура / Дупки, пропадане или издигане на настилката на пътното платно или тротоара ","Пътна инфраструктура "," Дупки, пропадане или издигане на настилката на пътното платно или тротоара "
53,"Сигнал №53/ СО-КЦ-162/  15.10.2014 22:26:26    ",Дупка на пътното платно,"
            бул. Цариградско Шосе, посока от Пловдив към Център, локално платно спускащо се към пл. Площад на Авиацията, 4-ти км, дясна пътна лента преди завоя има дупка (от ляво на пътната лента).
        ",Приключен,"Пътна инфраструктура / Дупки, пропадане или издигане на настилката на пътното платно или тротоара ","Пътна инфраструктура "," Дупки, пропадане или издигане на настилката на пътното платно или тротоара "
